date,temp,type
23-04-2023,35.0,Maximum
23-04-2023,24.1,Minimum
24-04-2023,34.4,Maximum
24-04-2023,23.4,Minimum
25-04-2023,33.4,Maximum
25-04-2023,23.6,Minimum
26-04-2023,33.6,Maximum
26-04-2023,24.1,Minimum
27-04-2023,34.8,Maximum
27-04-2023,24.2,Minimum
28-04-2023,34.1,Maximum
28-04-2023,24.8,Minimum
29-04-2023,34.0,Maximum
29-04-2023,23.8,Minimum
30-04-2023,32.9,Maximum
30-04-2023,24.4,Minimum
01-05-2023,31.1,Maximum
01-05-2023,23.7,Minimum
02-05-2023,31.1,Maximum
02-05-2023,23.7,Minimum
03-05-2023,31.5,Maximum
03-05-2023,23.5,Minimum
04-05-2023,31.7,Maximum
04-05-2023,24.1,Minimum
05-05-2023,30.5,Maximum
05-05-2023,24.0,Minimum
06-05-2023,32.2,Maximum
06-05-2023,24.1,Minimum
07-05-2023,30.6,Maximum
07-05-2023,23.5,Minimum
08-05-2023,32.8,Maximum
08-05-2023,23.5,Minimum
09-05-2023,33.0,Maximum
09-05-2023,24.0,Minimum
10-05-2023,34.1,Maximum
10-05-2023,24.2,Minimum
11-05-2023,34.5,Maximum
11-05-2023,25.1,Minimum
12-05-2023,33.8,Maximum
12-05-2023,25.3,Minimum
13-05-2023,33.7,Maximum
13-05-2023,25.8,Minimum
14-05-2023,35.6,Maximum
14-05-2023,25.6,Minimum
15-05-2023,35.2,Maximum
15-05-2023,25.6,Minimum
16-05-2023,36.6,Maximum
16-05-2023,25.3,Minimum
17-05-2023,35.5,Maximum
17-05-2023,25.8,Minimum
18-05-2023,36.6,Maximum
18-05-2023,25.7,Minimum
19-05-2023,33.4,Maximum
19-05-2023,25.4,Minimum
20-05-2023,34.8,Maximum
20-05-2023,24.8,Minimum
21-05-2023,33.9,Maximum
21-05-2023,24.4,Minimum
22-05-2023,35.4,Maximum
22-05-2023,24.4,Minimum
23-05-2023,34.5,Maximum
23-05-2023,24.0,Minimum
24-05-2023,34.7,Maximum
24-05-2023,24.9,Minimum
25-05-2023,33.3,Maximum
25-05-2023,24.8,Minimum
26-05-2023,33.6,Maximum
26-05-2023,25.0,Minimum
27-05-2023,35.1,Maximum
27-05-2023,24.2,Minimum
28-05-2023,33.1,Maximum
28-05-2023,25.2,Minimum
29-05-2023,34.9,Maximum
29-05-2023,24.4,Minimum
30-05-2023,34.7,Maximum
30-05-2023,24.8,Minimum
31-05-2023,34.6,Maximum
31-05-2023,24.5,Minimum
01-06-2023,33.3,Maximum
01-06-2023,25.0,Minimum
02-06-2023,34.1,Maximum
02-06-2023,24.6,Minimum
03-06-2023,35.4,Maximum
03-06-2023,25.0,Minimum
